Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10µ,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,119.38,-108.9875,90.0,top
C2,47µ,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,121.92,-108.9875,90.0,top
C3,10µ,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,93.98,-107.7175,90.0,top
C4,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,93.98,-103.9075,-90.0,top
R1,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,131.81,-110.49,0.0,top
R2,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,131.81,-107.95,0.0,top
R3,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,131.81,-105.41,0.0,top
R4,330,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,131.81,-102.87,0.0,top
R5,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,121.92,-103.87,90.0,top
R6,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,119.38,-103.87,90.0,top
SW1,Reset,SW_SPST_CK_RS282G05A3,125.73,-116.93,90.0,top
SW2,Flash,SW_SPST_CK_RS282G05A3,125.73,-106.68,90.0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,119.14,-116.18,90.0,top
U2,ESP32-WROOM-32,ESP32-WROOM-32,105.41,-111.25,0.0,top
U3,SN74AHCT125D,SOIC127P600X175-14N,133.35,-116.84,90.0,top
