Comment,Designator,Footprint,LCSC
AMS1117-3.3,U1,SOT-223-3_TabPin2,C6186
47µ,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C16780
10K,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
10µ,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850
100n,C4,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678
Reset,SW1,SW_SPST_CK_RS282G05A3,C354943
SN74AHCT125D,U3,SOIC127P600X175-14N,C155176
330,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17630
330,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17630
330,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17630
330,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17630
10K,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414
10µ,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850
Flash,SW2,SW_SPST_CK_RS282G05A3,C354943
ESP32-WROOM-32,U2,ESP32-WROOM-32,C82899
